transaction_id,customer_id,amount,timestamp,branch_name
25262233-4af1-413d-9d83-acc8ec1907d8,3715,4665.31,2025-02-09 03:44:40.282580,Boston
b0a7e5ab-e8f9-4dea-b7ed-fd30e4fca9f2,1097,671.19,2025-01-18 03:44:40.282637,Chicago
10ba4e41-6047-41c2-a959-0e920d147d25,4461,3805.26,2025-02-06 03:44:40.282656,Chicago
5d8364b2-ded5-4822-89a1-0ee417a4dc13,3442,1816.23,2025-01-24 03:44:40.282671,New York
b9afaf85-4460-41db-bcbb-4a3bb0186543,2617,4034.27,2025-01-22 03:44:40.282684,Boston
6f006d81-4e05-468e-9f15-44ed9dba5b6f,3734,3710.79,2025-02-10 03:44:40.282697,New York
3e5e131a-10c2-49bc-8ecf-92c07904e483,2807,3820.05,2025-01-27 03:44:40.282712,New York
2c96b73e-6dea-4e88-ae79-de3af24a3511,3534,2447.89,2025-02-08 03:44:40.282729,New York
d838b28d-df91-4037-986e-1afa34d5f85f,3204,612.43,2025-01-31 03:44:40.282746,Boston
9b8b4bf2-7104-467b-a5d1-bf67944ba745,1542,2324.81,2025-01-13 03:44:40.282761,San Francisco
a67123a2-ddf5-4304-ab7d-c1311b59539a,4821,2845.59,2025-02-01 03:44:40.282775,Los Angeles
46fad116-5408-4b75-8826-671c20fbffda,2709,2873.38,2025-01-13 03:44:40.282789,San Francisco
d2e3f7ba-040b-4cce-be3e-45c4cbc28cf6,3989,4179.22,2025-01-25 03:44:40.282804,Chicago
1e1775bd-77df-4183-873b-6a3b6110e53c,3850,1006.73,2025-02-04 03:44:40.282816,San Francisco
1ef356ee-2ca5-4a4f-a8cf-c081b85119cd,4276,2994.96,2025-02-03 03:44:40.282827,New York
02096735-165b-4b08-869c-dda7c4aae71a,3399,428.68,2025-02-11 03:44:40.282857,New York
32eaa179-40cd-451a-a49b-2e101afc2cf0,2132,1225.74,2025-01-29 03:44:40.282872,Los Angeles
c4596e11-8f04-43de-9591-dc010724b8ed,4700,4334.7,2025-01-27 03:44:40.282887,San Francisco
eb70722b-1909-4880-ac88-232d46b78395,2609,3119.53,2025-01-25 03:44:40.282901,New York
70a99183-545e-4a80-a3fc-29edb88262a0,2454,2366.01,2025-01-16 03:44:40.282913,Boston
f904b52f-8f03-4c13-a9e7-5286743df866,4416,1815.68,2025-01-31 03:44:40.282925,San Francisco
ac263285-329d-4e2a-bbd4-572da2562185,2496,805.01,2025-02-07 03:44:40.282938,San Francisco
e6b27ab4-9678-43d9-9dec-1e7f61cfb94c,1290,4187.85,2025-01-23 03:44:40.282952,New York
112bd097-9af3-4698-b4b7-76105577c3da,1979,3799.87,2025-01-27 03:44:40.282965,Los Angeles
ea02ff83-aa9a-4b09-90c1-20aa3e0341c2,4731,311.0,2025-01-13 03:44:40.282978,Los Angeles
5213f8db-93b1-4dc1-bbd0-9c3c81447009,3644,707.78,2025-01-15 03:44:40.282992,New York
