transaction_id,customer_id,amount,transaction_type,timestamp
1,1,6751.71,Transfer,2023-09-03 21:20:28
2,1,575.54,Debit,2023-04-21 18:26:26
3,1,1070.79,Withdrawal,2023-11-04 11:43:52
4,1,4092.01,Withdrawal,2023-05-10 20:54:50
5,1,4078.89,Debit,2023-07-21 03:02:11
6,1,3105.84,Transfer,2023-01-04 03:20:26
7,1,309.26,Debit,2023-03-05 12:16:45
8,1,1520.46,Withdrawal,2023-06-22 03:29:22
9,1,6510.91,Credit,2023-05-31 04:19:10
10,1,8329.88,Debit,2023-10-22 20:14:06
11,1,8426.55,Debit,2023-07-10 00:59:36
12,1,7634.57,Withdrawal,2023-03-10 07:12:24
13,1,2525.59,Withdrawal,2023-01-24 10:06:34
14,1,6663.16,Debit,2023-02-21 14:08:54
15,1,7554.96,Debit,2023-10-15 05:07:58
16,1,5176.54,Transfer,2023-02-02 09:22:56
17,1,8941.24,Credit,2023-06-17 13:10:41
18,1,7020.26,Transfer,2023-09-16 15:05:25
19,1,3915.43,Credit,2023-02-26 22:30:43
20,1,515.42,Withdrawal,2023-11-16 17:45:15
21,1,3069.44,Debit,2023-12-19 09:50:16
22,1,9440.38,Credit,2023-09-15 15:26:11
23,1,3633.96,Credit,2023-01-20 00:19:52
24,1,1677.23,Credit,2023-04-07 13:03:00
25,1,8136.17,Withdrawal,2023-01-30 05:42:03
26,1,6953.31,Debit,2023-10-16 17:24:50
27,1,6150.58,Debit,2023-04-02 22:54:39
28,1,2779.33,Withdrawal,2023-01-02 03:17:26
29,1,6317.74,Withdrawal,2023-06-17 11:25:43
30,1,1471.36,Withdrawal,2023-08-01 02:46:43
31,1,8557.13,Credit,2023-09-02 21:30:11
32,1,6443.05,Transfer,2023-10-30 01:56:35
33,1,1648.16,Credit,2023-01-14 11:58:44
34,1,4575.39,Withdrawal,2023-04-26 09:39:03
35,1,8514.47,Transfer,2023-07-16 06:46:32
36,1,9177.92,Debit,2023-03-28 16:55:02
37,1,1078.05,Credit,2023-04-11 21:19:38
38,1,6023.88,Debit,2023-09-27 16:10:41
39,1,8288.14,Debit,2023-10-01 18:29:53
40,1,1489.97,Withdrawal,2023-06-19 20:56:30
41,1,1448.74,Credit,2023-05-29 21:27:24
42,1,5995.38,Credit,2023-03-01 22:54:00
43,1,3803.91,Withdrawal,2023-12-12 18:31:12
44,1,2138.8,Transfer,2023-11-09 10:11:50
45,1,9998.62,Transfer,2023-07-17 00:33:56
46,1,7196.06,Transfer,2023-03-02 07:40:46
47,1,4495.45,Credit,2023-01-27 13:10:11
48,1,4652.29,Withdrawal,2023-09-12 00:05:33
49,1,9070.72,Debit,2023-03-10 18:25:08
50,1,9999.92,Debit,2023-11-05 14:13:51
51,1,8845.66,Withdrawal,2023-01-19 10:12:31
52,1,2582.12,Credit,2023-07-11 14:28:30
53,1,5789.1,Transfer,2023-10-01 17:38:39
54,1,1117.24,Withdrawal,2023-09-06 19:52:07
55,1,2384.32,Debit,2023-02-11 16:44:30
56,1,4166.32,Transfer,2023-12-02 13:33:08
57,1,4617.62,Transfer,2023-06-20 03:41:42
58,1,3653.1,Transfer,2023-06-05 09:48:26
59,1,9248.57,Withdrawal,2023-08-30 20:25:36
60,1,746.17,Withdrawal,2023-08-05 14:54:23
61,1,9740.38,Withdrawal,2023-08-07 18:36:57
62,1,6080.39,Credit,2023-03-04 13:35:58
63,1,2938.24,Credit,2023-04-24 08:44:45
64,1,3216.86,Credit,2023-07-28 04:12:53
65,1,6502.49,Withdrawal,2023-06-17 18:40:05
66,1,281.21,Withdrawal,2023-06-20 11:10:57
67,1,5425.09,Transfer,2023-02-16 19:55:43
68,1,4102.92,Transfer,2023-05-03 20:32:59
69,1,2831.66,Credit,2023-07-19 22:09:04
70,1,4057.88,Transfer,2023-11-21 05:44:51
71,1,3524.12,Credit,2023-10-02 07:30:04
72,1,811.02,Transfer,2023-07-31 10:01:13
